Entity,Code,year,Day,Average surface temperature,Average surface temperature
United States,USA,1940,15/01/40,-7.278521,8.045168
United States,USA,1940,15/02/40,-3.639929,8.045168
United States,USA,1940,15/03/40,0.42274287,8.045168
United States,USA,1940,15/04/40,6.75601,8.045168
United States,USA,1940,15/05/40,13.282525,8.045168
United States,USA,1940,15/06/40,18.751434,8.045168
United States,USA,1940,15/07/40,21.244797,8.045168
United States,USA,1940,15/08/40,20.482525,8.045168
United States,USA,1940,15/09/40,16.331415,8.045168
United States,USA,1940,15/10/40,10.75,8.045168
United States,USA,1940,15/11/40,1.1984204,8.045168
United States,USA,1940,15/12/40,-1.7594059,8.045168
United States,USA,1941,15/01/41,-4.5255322,8.016244
United States,USA,1941,15/02/41,-2.9709566,8.016244
United States,USA,1941,15/03/41,-0.68278193,8.016244
United States,USA,1941,15/04/41,6.7733502,8.016244
United States,USA,1941,15/05/41,13.114491,8.016244
United States,USA,1941,15/06/41,17.735582,8.016244
United States,USA,1941,15/07/41,20.908552,8.016244
United States,USA,1941,15/08/41,20.429485,8.016244
United States,USA,1941,15/09/41,15.819674,8.016244
United States,USA,1941,15/10/41,9.658864,8.016244
United States,USA,1941,15/11/41,1.8122152,8.016244
United States,USA,1941,15/12/41,-1.8780192,8.016244
United States,USA,1942,15/01/42,-4.7765512,7.848984
United States,USA,1942,15/02/42,-3.870868,7.848984
United States,USA,1942,15/03/42,0.09781124,7.848984
United States,USA,1942,15/04/42,7.537291,7.848984
United States,USA,1942,15/05/42,12.064384,7.848984
United States,USA,1942,15/06/42,17.752876,7.848984
United States,USA,1942,15/07/42,21.090374,7.848984
United States,USA,1942,15/08/42,20.071842,7.848984
United States,USA,1942,15/09/42,15.843611,7.848984
United States,USA,1942,15/10/42,10.025621,7.848984
United States,USA,1942,15/11/42,2.1565475,7.848984
United States,USA,1942,15/12/42,-3.8051353,7.848984
United States,USA,1943,15/01/43,-5.5162487,8.378766
United States,USA,1943,15/02/43,-1.4559234,8.378766
United States,USA,1943,15/03/43,0.18109943,8.378766
United States,USA,1943,15/04/43,7.638229,8.378766
United States,USA,1943,15/05/43,12.697808,8.378766
United States,USA,1943,15/06/43,18.524704,8.378766
United States,USA,1943,15/07/43,21.399345,8.378766
United States,USA,1943,15/08/43,20.988422,8.378766
United States,USA,1943,15/09/43,15.991072,8.378766
United States,USA,1943,15/10/43,9.70106,8.378766
United States,USA,1943,15/11/43,2.73866,8.378766
United States,USA,1943,15/12/43,-2.343035,8.378766
United States,USA,1944,15/01/44,-3.0355563,8.490617
United States,USA,1944,15/02/44,-1.3499693,8.490617
United States,USA,1944,15/03/44,0.30301216,8.490617
United States,USA,1944,15/04/44,5.960942,8.490617
United States,USA,1944,15/05/44,13.581206,8.490617
United States,USA,1944,15/06/44,18.230541,8.490617
United States,USA,1944,15/07/44,21.054283,8.490617
United States,USA,1944,15/08/44,20.656504,8.490617
United States,USA,1944,15/09/44,16.381725,8.490617
United States,USA,1944,15/10/44,10.5691595,8.490617
United States,USA,1944,15/11/44,2.5061104,8.490617
United States,USA,1944,15/12/44,-2.9705637,8.490617
United States,USA,1945,15/01/45,-3.2741895,8.090112
United States,USA,1945,15/02/45,-1.6930252,8.090112
