iso,Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CHN,China,MtCO2e,1826.08,1954.90,2070.89,2298.12,2420.36,2741.36,2723.24,2786.85,2889.03,2806.43,2999.31,3198.98,3466.06,4094.31,4783.13,5494.55,6107.39,6663.11,6869.53,7389.01,8144.86,8574.55,8832.55,9271.13,9304.75,9149.52,9224.28,9441.26,9910.09,10125.52,10260.60,10849.18
USA,United States,MtCO2e,4435.58,4398.54,4470.67,4586.13,4657.60,4708.07,4864.47,5134.31,5181.57,5200.16,5367.05,5356.61,5201.38,5267.34,5346.62,5361.77,5261.31,5344.48,5166.47,4764.45,5000.09,4764.43,4546.75,4682.69,4697.67,4581.10,4672.50,4597.30,4753.58,4596.00,4098.53,4385.23
IND,India,MtCO2e,340.83,384.47,403.72,428.84,463.45,515.41,551.62,596.81,613.83,678.87,715.38,957.15,989.08,1015.38,1089.27,1140.06,1218.80,1340.33,1427.97,1567.98,1663.05,1689.55,1842.33,1905.19,2080.18,2091.34,2159.12,2272.75,2422.24,2388.37,2164.80,2395.19
RUS,Russia,MtCO2e,1811.01,1783.92,1677.84,1527.07,1331.66,1282.10,1247.79,1136.18,1134.65,1170.92,1211.18,820.07,818.14,862.50,853.63,864.33,907.26,910.35,907.53,798.74,870.38,1033.07,1010.47,967.43,946.67,927.26,1034.74,1057.92,1124.95,1167.88,1089.49,1211.29
IDN,Indonesia,MtCO2e,752.03,765.96,775.04,788.71,802.79,828.78,713.56,1426.76,847.83,788.02,734.06,569.72,941.10,699.73,966.14,762.39,1087.95,673.24,662.68,966.59,703.41,1210.50,1228.49,1181.12,1463.35,1496.30,985.32,983.72,1181.32,1392.80,1053.65,1060.49
JPN,Japan,MtCO2e,1015.11,1028.55,1039.65,1032.15,1085.28,1095.53,1109.85,1097.11,1054.77,1093.46,1108.92,1075.14,1109.52,1116.71,1110.04,1118.17,1095.69,1130.47,1061.23,1004.65,1059.40,1164.58,1205.08,1218.07,1168.16,1128.67,1133.50,1119.75,1080.02,1041.79,983.32,990.74
BRA,Brazil,MtCO2e,1236.44,1244.02,1246.42,1253.84,1261.08,1279.87,1300.99,1319.91,1329.15,1339.54,1352.25,1420.52,1418.91,1411.97,1429.75,1432.89,1436.84,1453.79,1474.85,1451.20,1499.16,680.38,716.30,748.92,771.28,745.98,829.90,838.81,817.56,815.52,795.78,849.86
IRN,Iran,MtCO2e,179.30,200.01,214.60,217.81,247.89,252.81,261.20,274.00,272.80,305.51,323.05,313.63,329.31,349.51,377.94,411.43,444.98,475.19,484.86,504.94,505.55,562.01,569.98,595.70,616.95,609.63,618.28,637.67,631.88,671.40,685.97,712.56
DEU,Germany,MtCO2e,922.56,899.80,860.06,854.30,843.13,841.93,871.55,839.84,832.45,800.70,797.32,847.71,833.30,836.56,820.69,802.01,814.04,783.43,789.31,734.41,772.68,735.22,748.87,764.89,724.72,731.02,735.67,720.71,696.28,647.12,594.89,626.16
COD,Democratic Republic of the Congo,MtCO2e,370.77,369.33,369.07,369.51,369.84,369.74,369.92,369.92,369.92,369.73,369.26,369.19,369.27,369.63,369.56,369.83,369.90,370.09,370.17,370.11,370.26,604.30,604.03,605.23,606.41,604.49,603.69,604.11,604.09,604.34,604.46,604.51
